filename,word_count,sentence_count,character_count,unique_word_count,avg_word_length,avg_sentence_length_words,avg_sentence_length_chars,lexical_diversity,sentence_length_std_dev,word_entropy,char_entropy,readability_flesch_reading_ease,readability_flesch_kincaid_grade,readability_gunning_fog,readability_smog_index,readability_coleman_liau_index,readability_automated_readability_index,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,pos_tag_count,function_word_ratio,mattr,2gram_repetition_rate,3gram_repetition_rate,4gram_repetition_rate
blockchain_technology_bard.txt,233,11,1534,131,5.407725321888412,21.181818181818183,139.45454545454547,0.5622317596566524,7.208810036945095,6.432562381551176,4.347245965825659,33.34,13.8,16.53,15.8,14.5,15.5,0.071,0.775,0.154,0.9595,0,0.4248927038626609,0.7782608695652173,0.07758620689655171,0.02164502164502169,0.004347826086956497
blockchain_technology_chatgpt.txt,130,7,987,90,6.453846153846154,18.571428571428573,141.0,0.6923076923076923,6.433331570970116,6.2424902900649615,4.4142019368372685,10.5,16.4,17.9,17.5,20.42,19.1,0.017,0.869,0.114,0.9032,0,0.3230769230769231,0.8617283950617285,0.03100775193798455,0.0,0.0
blockchain_technology_deepseek.txt,222,10,1477,138,5.513513513513513,22.2,147.7,0.6216216216216216,6.029925372672534,6.656489955321438,4.3870564479895275,32.33,14.2,16.25,15.9,15.14,16.6,0.12,0.734,0.146,0.5439,0,0.3963963963963964,0.8061271676300577,0.03167420814479638,0.0,0.0
blockchain_technology_wikipedia.txt,355,14,2373,211,5.501408450704226,25.357142857142858,169.5,0.5943661971830986,10.84044769013019,7.240941677126867,4.473599567046824,29.89,15.1,16.66,16.4,16.31,18.8,0.095,0.807,0.098,-0.4471,0,0.35492957746478876,0.8537254901960785,0.053672316384180796,0.011331444759206777,0.0
crispr_gene_editing_bard.txt,281,14,1713,140,4.879003558718861,20.071428571428573,122.35714285714286,0.498220640569395,8.05751012334177,6.566413760140529,4.66302804028788,34.86,13.2,13.66,15.0,12.07,13.3,0.042,0.935,0.023,-0.5267,0,0.33451957295373663,0.7860344827586208,0.125,0.028673835125448077,0.003597122302158251
crispr_gene_editing_chatgpt.txt,204,10,1368,138,5.5245098039215685,20.4,136.8,0.6764705882352942,6.3118935352238,6.747217869316862,4.675063352620035,17.54,15.7,16.81,17.4,15.72,16.3,0.028,0.888,0.084,0.8883,0,0.27941176470588236,0.8385806451612905,0.039408866995073843,0.004950495049504955,0.0
crispr_gene_editing_deepseek.txt,309,15,2005,174,5.294498381877022,20.6,133.66666666666666,0.5631067961165048,5.135497379352202,6.93598755627711,4.662285420500828,25.69,14.7,15.48,16.8,14.27,15.1,0.027,0.904,0.068,0.8934,0,0.313915857605178,0.8227692307692308,0.09740259740259738,0.0228013029315961,0.0032679738562091387
crispr_gene_editing_wikipedia.txt,217,10,1367,143,5.129032258064516,21.7,136.7,0.6589861751152074,9.9,6.755561397091654,4.555008666008141,31.21,14.6,18.67,17.5,14.22,16.4,0.049,0.852,0.099,0.8335,0,0.3778801843317972,0.8123809523809525,0.02314814814814814,0.0046511627906976605,0.0
existentialism_bard.txt,476,20,3558,88,6.34453781512605,23.8,177.9,0.18487394957983194,7.19444229944198,6.20750305791449,4.246208076704035,5.22,18.4,12.41,18.9,20.14,21.1,0.113,0.77,0.117,0.8555,0,0.3865546218487395,0.8429039812646371,0.7557894736842106,0.748945147679325,0.7484143763213531
existentialism_chatgpt.txt,524,20,3807,97,6.076335877862595,26.2,190.35,0.1851145038167939,7.782030583337487,6.366049551421263,4.361539841093929,11.25,18.2,12.63,17.6,18.51,21.3,0.127,0.76,0.113,-0.1051,0,0.33587786259541985,0.8834105263157898,0.751434034416826,0.7490421455938697,0.7485604606525912
existentialism_deepseek.txt,606,24,4242,129,5.8316831683168315,25.25,176.75,0.21287128712871287,6.057020719792859,6.5899316082522645,4.298695026590207,12.16,17.8,12.63,17.1,17.0,19.5,0.108,0.811,0.082,-0.8101,0,0.40594059405940597,0.8339317773788151,0.6760330578512397,0.6655629139072847,0.6650082918739635
existentialism_wikipedia.txt,256,11,1826,172,5.921875,23.272727272727273,166.0,0.671875,11.832858020175001,7.050810345009284,4.5330966787245695,5.12,18.4,18.43,18.0,20.14,22.0,0.021,0.884,0.095,0.9556,0,0.3359375,0.8870531400966184,0.027450980392156876,0.0,0.0
fall_of_roman_empire_bard.txt,267,15,1856,163,5.7565543071161045,17.8,123.73333333333333,0.6104868913857678,5.74108003776293,6.752601873434806,4.4639591997499455,11.51,16.0,17.69,17.2,16.59,16.0,0.104,0.867,0.029,-0.9664,0,0.35580524344569286,0.8160550458715596,0.07894736842105265,0.02264150943396226,0.0037878787878787845
fall_of_roman_empire_chatgpt.txt,448,22,2970,232,5.455357142857143,20.363636363636363,135.0,0.5178571428571429,8.315076419839361,6.965516016319451,4.586689456168526,17.34,15.8,16.36,17.0,14.91,15.6,0.091,0.879,0.03,-0.968,0,0.3549107142857143,0.7881203007518797,0.15659955257270697,0.06502242152466364,0.02921348314606742
fall_of_roman_empire_deepseek.txt,502,18,3086,251,4.99800796812749,27.88888888888889,171.44444444444446,0.5,9.32671723174814,6.84591588387805,4.450720120503401,26.54,16.4,17.41,17.6,12.36,16.9,0.084,0.895,0.021,-0.987,0,0.4203187250996016,0.7570860927152319,0.17564870259481036,0.05600000000000005,0.022044088176352727
